User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, char-1, char, 1, 5,   0, 5, 5, 5, 0, 5,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, char-2, char, 1, 5,   0, 5, 5, 5, 0, 5,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, char-3, char, 1, 5,   0, 5, 5, 5, 0, 5,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, char-4, char, 1, 5,   0, 5, 5, 5, 0, 5,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, char-5, char, 1, 5,   3, 4, 4, 4, 0, 4,    0.6, 0.8, 0.8, 0.8, 0.0, 0.8
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, char-6, char, 0, 5,   0, 0, 0, 0, 0, 0,    0.0, 0.0, 0.0, 0.0, 0.0, 0.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, expr-1, expr, 1, 37,   0, 37, 37, 37, 0, 37,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, expr-2, expr, 1, 23,   0, 23, 23, 23, 0, 23,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, expr-3, expr, 1, 31,   0, 31, 31, 31, 0, 31,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, expr-4, expr, 1, 27,   0, 27, 27, 27, 0, 27,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, expr-5, expr, 1, 23,   0, 23, 23, 23, 0, 23,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, expr-6, expr, 1, 27,   0, 27, 27, 27, 0, 27,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, expr-7, expr, 1, 23,   0, 23, 23, 23, 0, 23,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, expr-8, expr, 1, 32,   0, 32, 32, 32, 0, 32,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, expr-9, expr, 1, 57,   0, 57, 57, 57, 0, 57,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, float-1, float, 1, 5,   2, 4, 4, 4, 0, 4,    0.4, 0.8, 0.8, 0.8, 0.0, 0.8
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, float-2, float, 1, 5,   3, 4, 4, 4, 0, 4,    0.6, 0.8, 0.8, 0.8, 0.0, 0.8
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, float-3, float, 1, 5,   3, 4, 4, 4, 0, 4,    0.6, 0.8, 0.8, 0.8, 0.0, 0.8
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, float-4, float, 1, 5,   3, 4, 4, 4, 0, 4,    0.6, 0.8, 0.8, 0.8, 0.0, 0.8
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, float-5, float, 1, 5,   2, 4, 4, 4, 0, 4,    0.4, 0.8, 0.8, 0.8, 0.0, 0.8
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, float-6, float, 1, 5,   2, 4, 4, 4, 0, 4,    0.4, 0.8, 0.8, 0.8, 0.0, 0.8
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, float-8, float, 1, 5,   2, 4, 4, 4, 0, 4,    0.4, 0.8, 0.8, 0.8, 0.0, 0.8
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, float-9, float, 1, 5,   0, 5, 5, 5, 0, 5,    0.0, 1.0, 1.0, 1.0, 0.0, 1.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
al3515, include-0, include, 0, 3,   0, 0, 0, 0, 0, 0,    0.0, 0.0, 0.0, 0.0, 0.0, 0.0
User, Test, TestCategory, ValidJSON, TotalTokens,   EditDistanceAbs, ClassAbs, StreamLineAbs, SourceFileAbs, SourceLineAbs, SourceColAbs,   EditDistanceRel, ClassRel, StreamLineRel, SourceFileRel, SourceLineRel, SourceColRel
